"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000000409",330,499,635,457,1639,3392,12675,7473,7348,32345,1865,14723,3233,4257,5818,66290,17003,6542,286,390,377,273,588
"ENSMUSG00000000411",2,1,0,0,1,2,1,1,3,6,0,0,8,1,1,11,0,2,1,3,1,1,0
"ENSMUSG00000000416",423,1001,406,39,209,1326,2442,85,1600,241,6,34,4078,657,691,2120,413,915,213,406,212,296,619
"ENSMUSG00000000420",3890,6315,4932,1668,4081,28608,59640,20766,37632,45960,1836,14609,32533,8015,8928,75304,10621,12374,3553,6101,6195,4396,9472
"ENSMUSG00000000435",2,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"ENSMUSG00000000439",731,1032,725,243,855,3232,6157,2203,4417,3974,159,1291,4378,1215,1533,8316,1470,1902,526,809,736,694,1158
"ENSMUSG00000000440",7581,12133,11166,6823,6167,26920,65854,18787,38876,38671,804,7337,37047,12528,11872,83381,9207,17628,6208,12323,8336,7018,8850
"ENSMUSG00000000441",7966,11626,10681,3571,10110,36241,87155,37257,52107,55700,2329,16212,44863,12569,15099,95111,15838,21666,5536,10923,10647,8204,14535
"ENSMUSG00000000486",130,299,393,428,1263,1944,7803,4713,3998,22424,858,7663,2370,4409,5047,42101,12917,5167,122,266,145,142,201
"ENSMUSG00000000489",17,35,11,3,33,64,186,42,82,225,8,91,91,49,93,737,165,49,5,9,4,7,11
"ENSMUSG00000000530",560,666,379,123,350,804,2486,459,1319,800,43,267,1294,439,434,1495,377,692,364,626,479,336,412
"ENSMUSG00000000531",161,154,106,42,150,218,737,155,359,401,47,445,579,297,253,1359,449,219,85,112,84,87,182
"ENSMUSG00000000532",3928,5936,2621,1393,2077,12184,27531,10814,16178,12540,346,2919,18506,5941,5255,27518,3042,7757,1985,5078,3718,3397,3591
"ENSMUSG00000000538",5950,9901,5257,3833,2779,12076,34715,11416,16473,13450,554,4174,23696,7768,5770,32470,3651,10073,2453,8215,3570,3519,4404
"ENSMUSG00000000544",43341,63865,58262,35035,40065,125144,421054,217654,202701,223855,4737,44139,169184,71759,75402,366885,49911,93746,39770,78359,68954,51585,60298
"ENSMUSG00000000552",34,38,52,45,36,132,444,184,183,310,42,285,187,81,141,707,227,120,27,58,32,25,44
