go,gene
GO:0007131,EfaB_MINUS_11882.g1045
GO:0008094,EfaB_MINUS_11882.g1045
GO:0000166,EfaB_MINUS_11882.g1045
GO:0017111,EfaB_MINUS_11882.g1045
GO:0005515,EfaB_MINUS_11882.g1046
GO:0055114,EfaB_MINUS_11882.g1049
GO:0050660,EfaB_MINUS_11882.g1049
GO:0016614,EfaB_MINUS_11882.g1049
GO:0016614,EfaB_MINUS_11882.g1049
GO:0055114,EfaB_MINUS_11882.g1049
GO:0005515,EfaB_MINUS_11882.g1050
GO:0008152,EfaB_MINUS_11882.g1052
GO:0003951,EfaB_MINUS_11882.g1052
GO:0007205,EfaB_MINUS_11882.g1052
GO:0004143,EfaB_MINUS_11882.g1052
GO:0004143,EfaB_MINUS_11882.g1052
GO:0007205,EfaB_MINUS_11882.g1052
GO:0005524,EfaB_MINUS_11882.g1053
GO:0006468,EfaB_MINUS_11882.g1053
GO:0004672,EfaB_MINUS_11882.g1053
GO:0005524,EfaB_MINUS_11882.g1053
GO:0005524,EfaB_MINUS_11882.g1053
GO:0004672,EfaB_MINUS_11882.g1053
GO:0006468,EfaB_MINUS_11882.g1053
GO:0016772,EfaB_MINUS_11882.g1053
GO:0005515,EfaB_MINUS_11882.g1056
GO:0005515,EfaB_MINUS_12065.g1057
GO:0004386,EfaB_MINUS_12065.g1057
GO:0005524,EfaB_MINUS_12065.g1057
GO:0003676,EfaB_MINUS_12065.g1057
GO:0005524,EfaB_MINUS_12065.g1057
GO:0008026,EfaB_MINUS_12065.g1057
GO:0003676,EfaB_MINUS_12065.g1057
GO:0016746,EfaB_MINUS_12065.g1058
GO:0008152,EfaB_MINUS_12065.g1058
GO:0006355,EfaB_MINUS_12065.g1061
GO:0006367,EfaB_MINUS_12065.g1061
GO:0003677,EfaB_MINUS_12065.g1061
GO:0005515,EfaB_MINUS_12065.g1062
GO:0005198,EfaB_MINUS_12065.g1062
GO:0030117,EfaB_MINUS_12065.g1062
GO:0016192,EfaB_MINUS_12065.g1062
GO:0006886,EfaB_MINUS_12065.g1062
GO:0005515,EfaB_MINUS_12065.g1065
GO:0005515,EfaB_MINUS_12065.g1066
GO:0016772,EfaB_MINUS_12281.g1071
GO:0016773,EfaB_MINUS_12281.g1071
GO:0005975,EfaB_MINUS_12302.g1077
GO:0004649,EfaB_MINUS_12302.g1077
GO:0005840,EfaB_MINUS_12302.g1078
GO:0003735,EfaB_MINUS_12302.g1078
GO:0006412,EfaB_MINUS_12302.g1078
GO:0006412,EfaB_MINUS_12302.g1078
GO:0005840,EfaB_MINUS_12302.g1078
GO:0003735,EfaB_MINUS_12302.g1078
GO:0005524,EfaB_MINUS_12302.g1081
GO:0016887,EfaB_MINUS_12302.g1081
GO:0016887,EfaB_MINUS_12302.g1081
GO:0005524,EfaB_MINUS_12302.g1081
GO:0016020,EfaB_MINUS_12302.g1081
GO:0017111,EfaB_MINUS_12302.g1081
GO:0000166,EfaB_MINUS_12302.g1081
GO:0045454,EfaB_MINUS_12302.g1082
GO:0009055,EfaB_MINUS_12302.g1082
GO:0015035,EfaB_MINUS_12302.g1082
GO:0003899,EfaB_MINUS_12324.g1084
GO:0006351,EfaB_MINUS_12324.g1084
GO:0005634,EfaB_MINUS_12324.g1084
GO:0005515,EfaB_MINUS_12324.g1085
GO:0005524,EfaB_MINUS_12324.g1087
GO:0016773,EfaB_MINUS_12324.g1087
GO:0005737,EfaB_MINUS_12324.g1087
GO:0016301,EfaB_MINUS_12324.g1087
GO:0005524,EfaB_MINUS_12324.g1087
GO:0008152,EfaB_MINUS_12324.g1087
GO:0046835,EfaB_MINUS_12324.g1087
GO:0006012,EfaB_MINUS_12324.g1087
GO:0005524,EfaB_MINUS_12324.g1087
GO:0004335,EfaB_MINUS_12324.g1087
GO:0055085,EfaB_MINUS_12324.g1088
GO:0005524,EfaB_MINUS_12324.g1089
GO:0005509,EfaB_MINUS_12324.g1089
GO:0005524,EfaB_MINUS_12324.g1089
GO:0004672,EfaB_MINUS_12324.g1089
GO:0006468,EfaB_MINUS_12324.g1089
GO:0006468,EfaB_MINUS_12324.g1089
GO:0004674,EfaB_MINUS_12324.g1089
GO:0016772,EfaB_MINUS_12324.g1089
GO:0006468,EfaB_MINUS_12324.g1089
GO:0004672,EfaB_MINUS_12324.g1089
GO:0005524,EfaB_MINUS_12324.g1089
GO:0005515,EfaB_MINUS_12367.g1090
GO:0016068,EfaB_MINUS_12367.g1090
GO:0000166,EfaB_MINUS_12367.g1091
GO:0003676,EfaB_MINUS_12367.g1091
GO:0005515,EfaB_MINUS_12367.g1092
GO:0005543,EfaB_MINUS_12367.g1092
GO:0005488,EfaB_MINUS_12420.g1094
GO:0016020,EfaB_MINUS_12420.g1095
GO:0003824,EfaB_MINUS_12420.g1097
GO:0009116,EfaB_MINUS_12420.g1097
GO:0004386,EfaB_MINUS_12420.g1098
GO:0005524,EfaB_MINUS_12420.g1098
GO:0003676,EfaB_MINUS_12420.g1098
GO:0005524,EfaB_MINUS_12420.g1098
GO:0008026,EfaB_MINUS_12420.g1098
GO:0003676,EfaB_MINUS_12420.g1098
GO:0003676,EfaB_MINUS_12420.g1098
GO:0008026,EfaB_MINUS_12420.g1098
GO:0005524,EfaB_MINUS_12420.g1098
GO:0015031,EfaB_MINUS_12534.g1100
GO:0016881,EfaB_MINUS_12534.g1101
GO:0003676,EfaB_MINUS_12534.g1103
GO:0008026,EfaB_MINUS_12534.g1103
GO:0005524,EfaB_MINUS_12534.g1103
GO:0004386,EfaB_MINUS_12534.g1103
GO:0005524,EfaB_MINUS_12534.g1103
GO:0003676,EfaB_MINUS_12534.g1103
GO:0005524,EfaB_MINUS_12534.g1103
GO:0008026,EfaB_MINUS_12534.g1103
GO:0003676,EfaB_MINUS_12534.g1103
GO:0003676,EfaB_MINUS_12534.g1104
GO:0008270,EfaB_MINUS_12534.g1104
GO:0003700,EfaB_MINUS_12534.g1107
GO:0006355,EfaB_MINUS_12534.g1107
GO:0005515,EfaB_MINUS_12616.g1110
GO:0007018,EfaB_MINUS_12616.g1112
GO:0030286,EfaB_MINUS_12616.g1112
GO:0003777,EfaB_MINUS_12616.g1112
GO:0017111,EfaB_MINUS_12616.g1112
GO:0000166,EfaB_MINUS_12616.g1112
GO:0016887,EfaB_MINUS_12616.g1112
GO:0005524,EfaB_MINUS_12616.g1112
GO:0004176,EfaB_MINUS_12616.g1113
GO:0006508,EfaB_MINUS_12616.g1113
GO:0005524,EfaB_MINUS_12616.g1113
GO:0006508,EfaB_MINUS_12616.g1113
GO:0004176,EfaB_MINUS_12616.g1113
GO:0004252,EfaB_MINUS_12616.g1113
GO:0017111,EfaB_MINUS_12616.g1113
GO:0000166,EfaB_MINUS_12616.g1113
GO:0005524,EfaB_MINUS_12616.g1113
GO:0004252,EfaB_MINUS_12616.g1113
GO:0004176,EfaB_MINUS_12616.g1113
GO:0006508,EfaB_MINUS_12616.g1113
GO:0016772,EfaB_MINUS_1307.g177
GO:0005524,EfaB_MINUS_1307.g177
GO:0006468,EfaB_MINUS_1307.g177
GO:0004674,EfaB_MINUS_1307.g177
GO:0006468,EfaB_MINUS_1307.g177
GO:0005524,EfaB_MINUS_1307.g177
GO:0004672,EfaB_MINUS_1307.g177
GO:0005524,EfaB_MINUS_1307.g177
GO:0004672,EfaB_MINUS_1307.g177
GO:0006468,EfaB_MINUS_1307.g177
GO:0006511,EfaB_MINUS_1307.g182
GO:0031625,EfaB_MINUS_1307.g182
GO:0031461,EfaB_MINUS_1307.g182
GO:0031072,EfaB_MINUS_13201.g1116
GO:0031072,EfaB_MINUS_13201.g1116
GO:0006457,EfaB_MINUS_13201.g1116
GO:0051082,EfaB_MINUS_13201.g1116
GO:0005524,EfaB_MINUS_13201.g1120
GO:0016772,EfaB_MINUS_13222.g1123
GO:0006468,EfaB_MINUS_13222.g1123
GO:0004674,EfaB_MINUS_13222.g1123
GO:0006468,EfaB_MINUS_13222.g1123
GO:0004672,EfaB_MINUS_13222.g1123
GO:0005524,EfaB_MINUS_13222.g1123
GO:0005524,EfaB_MINUS_13222.g1123
GO:0004672,EfaB_MINUS_13222.g1123
GO:0006468,EfaB_MINUS_13222.g1123
GO:0006886,EfaB_MINUS_13222.g1125
GO:0016020,EfaB_MINUS_13222.g1125
GO:0016020,EfaB_MINUS_13222.g1125
GO:0016192,EfaB_MINUS_13222.g1125
GO:0001932,EfaB_MINUS_13222.g1126
